name,price,currency,price_per_m2,rooms,area
Czyżyny | 2 pok. + Salon z aneksem + balkon | 45 m,559000.0,zł,12422.0,3.0,45.0
"SYNDYK SPRZEDA LOKAL - KRAKÓW, UL. FELIŃSKIEGO 28",372300.0,zł,9723.0,2.0,38.29
os. Złota Podkowa - 50m2- 3 pokoje- Bronowice Małe,645000.0,zł,12900.0,3.0,50.0
Mieszkanie na sprzedaż 2 pokoje 49 m2 z balkonem!,499800.0,zł,10200.0,2.0,49.0
6-Pokojowe - 103 MKW - TARAS z widokiem na park,1294250.0,zł,12500.0,6.0,103.54
"2 pokoje , oddzielna kuchnia Zielona okolica , bli",399000.0,zł,10755.0,2.0,37.1
SŁONECZNE 3 pokoje po remoncie na OS. STRUSIA,539000.0,zł,12278.0,3.0,43.9
"Mieszkanie 51,35 m2, Kraków oś Bohaterów Września",612000.0,zł,11918.0,2.0,51.35
Apartament 3 pok. wyposażony wysoki standard,659000.0,zł,12576.0,3.0,52.4
Aleja Pokoju|Gotowe do zamieszkania|69 m2,999000.0,zł,14478.0,3.0,69.0
6 mieszkań i 2 lokale użyt. w nowym apartamentowcu,7700000.0,zł,15462.0,,498.0
"Słoneczne mieszkanie z widokiem na zieleń, 3pokoje",509000.0,zł,8913.0,3.0,57.11
♥ 3 pokojowe ♥ | Najwyższe piętro | 2 balkony |,620000.0,zł,10712.0,3.0,57.88
Kraków mieszkanie 80m Taras Ogródek,449000.0,zł,5613.0,3.0,80.0
"42 m2, 2 oddzielne pokoje, parking, przy AGH.",610000.0,zł,14524.0,2.0,42.0
"3-4 pokoje, po remoncie, gotowe, Prądnik Czerwony",1079000.0,zł,9922.0,4.0,108.75
Kawalerka ~ Klimeckiego ~ Zabłocie,534000.0,zł,16055.0,1.0,33.26
2 pokoje | Duży balkon | W pobliżu centrum,783000.0,zł,15980.0,2.0,49.0
4-pokojowe mieszkanie 70m2 + balkon,752103.0,zł,10650.0,4.0,70.62
Dwie kawalerki pod wynajem - zwrot 7% lub więcej,499000.0,zł,11763.0,2.0,42.42
Stylowy apartament z dużym tarasem,779000.0,zł,16376.0,2.0,47.57
Prywatnie//Bez PCC/ 2-Pokojowe-Słoneczne,429000.0,zł,13360.0,2.0,32.11
Wykończone// Prywatnie// 2-pokojowe// Bez Prowizji,425000.0,zł,14167.0,2.0,30.0
Ustawna kawalerka| parter| Borek Fałęcki,175000.0,zł,10671.0,1.0,16.4
"Kraków, Bronowice, ul. Rydla",699000.0,zł,9986.0,3.0,70.0
Mieszkanie 2 pokojowe| Banacha | OZON |,499000.0,zł,11176.0,2.0,44.65
"Kraków, Swoszowice - nowe mieszkania, ogródki, 4 p",679000.0,zł,8655.0,4.0,78.45
2-pokojowe mieszkanie 53m2 + balkon Bez Prowizji,,,,2.0,53.01
Piasta Towers | mieszkanie 2-pok. | 7_5,481834.0,zł,10300.0,2.0,46.78
Piasta Towers | mieszkanie 4-pok. | 6_54,830011.0,zł,9100.0,4.0,91.21
"OKAZJA Centrum Jasna Kawalerka,Królewska,Krowodrza",407000.0,zł,16958.0,1.0,24.0
Sprzedam 2-poziomowe mieszkanie - 47m2 + 15m,539000.0,zł,8694.0,3.0,62.0
Apartament 3 pok. wyposażony wysoki standard,659000.0,zł,12576.0,3.0,52.4
2-pok wysoki standard+ ogród! Żabiniec/ Casa Feliz,675000.0,zł,13235.0,2.0,51.0
Promocja| Gotowe 3 pokoje + dwa miejsca garażowe,516907.0,zł,9751.0,3.0,53.01
"Apartament, 2 Pokoje, Podgórze, Rydlówka",690000.0,zł,15682.0,2.0,44.0
Sprzedam apartament na Wielopolu 17 w Krakowie,1490000.0,zł,19867.0,3.0,75.0
"Po generalnym remoncie w idealnym układzie, loggia",569000.0,zł,10736.0,3.0,53.0
Kraków mieszkanie 80m Taras Ogródek,449000.0,zł,5613.0,3.0,80.0
ŚWIETNA CENA ! Stare Podgórze - warto,640000.0,zł,14884.0,2.0,43.0
5-pokojowe mieszkanie 117m2 + loggia,,,,5.0,117.67
Bronowice | Stawowa | 3 Pok | Eng/Ru,810000.0,zł,14727.0,3.0,55.0
Bezpośrednio | Krowodrza Górka | Obok pętli | Nowe,498500.0,zł,16081.0,2.0,31.0
"OKAZJA Centrum Jasna Kawalerka,Królewska,Krowodrza",407000.0,zł,16958.0,1.0,24.0
Mieszkanie 3 pokojowe + piwnica + balkon 60m,599000.0,zł,9983.0,3.0,60.0
2 pokoje | wykończone | bez Pcc |Bez prowizji! Hit,565000.0,zł,14417.0,2.0,39.19
2 pokoje | nowy blok | balkon | Okazja,539000.02,",02zł",13646.0,2.0,39.5
2 pokoje | wykończone | bez Pcc | pod wynajem,539000.0,zł,13754.0,2.0,39.19
"Przybyszewskiego, 3 pokoje, wysoki standard, nowe",1440000.0,zł,19499.0,3.0,73.85
"SYNDYK SPRZEDA LOKAL - KRAKÓW, UL. FELIŃSKIEGO 28",372300.0,zł,9723.0,2.0,38.29
3 pok balkon dwustronne balkon bez gazu media Mpec,559000.0,zł,12439.0,3.0,44.94
3-pokojowe mieszkanie 70m2 + 2 loggie Bez Prowizji,,,,3.0,70.61
2 pokoje | ogródek | bez prowizji i Pcc |Krowodrza,817695.0,zł,13500.0,2.0,60.57
Mieszkanie 2 pokojowe od Właściciela,601605.0,zł,14500.0,2.0,41.49
